id,season,gameType,startTimeUTC,venueTimezone,venue,awayTeamName,homeTeamName,awayTeamScore,homeTeamScore,lastPeriod,homeTeamPrev10Wins,homeTeamPrev10Losses,homeTeamPrev10OTLs,awayTeamPrev10Wins,awayTeamPrev10Losses,awayTeamPrev10OTLs
2021020777,20212022,2,2022-02-03T00:00:00Z,America/New_York,UBS Arena,Seattle Kraken,New York Islanders,3.0,0.0,REG,6,4,0,4,6,0
2021020808,20212022,2,2022-02-03T00:00:00Z,US/Eastern,Capital One Arena,Edmonton Oilers,Washington Capitals,5.0,3.0,REG,5,5,0,4,4,2
2021020807,20212022,2,2022-02-03T00:30:00Z,America/Detroit,Little Caesars Arena,Los Angeles Kings,Detroit Red Wings,5.0,3.0,REG,4,4,2,5,3,2
2021020809,20212022,2,2022-02-03T02:30:00Z,America/Chicago,United Center,Minnesota Wild,Chicago Blackhawks,5.0,0.0,REG,4,4,2,8,1,1
2021020810,20212022,2,2022-02-03T02:30:00Z,America/Phoenix,Gila River Arena,Calgary Flames,Arizona Coyotes,4.0,2.0,REG,3,6,1,5,5,0
2021020583,20212022,2,2022-02-08T00:00:00Z,America/Toronto,Scotiabank Arena,Carolina Hurricanes,Toronto Maple Leafs,3.0,4.0,OT,7,2,1,7,2,1
2021021128,20212022,2,2022-02-08T00:00:00Z,US/Eastern,Canadian Tire Centre,New Jersey Devils,Ottawa Senators,1.0,4.0,REG,4,4,2,1,9,0
2021020510,20212022,2,2022-02-09T00:00:00Z,US/Eastern,Canadian Tire Centre,Carolina Hurricanes,Ottawa Senators,3.0,4.0,REG,4,4,2,7,2,1
2021020523,20212022,2,2022-02-09T00:00:00Z,US/Eastern,TD Garden,Pittsburgh Penguins,Boston Bruins,4.0,2.0,REG,6,3,1,6,1,3
2021020666,20212022,2,2022-02-09T00:00:00Z,America/Montreal,Centre Bell,New Jersey Devils,Montréal Canadiens,7.0,1.0,REG,1,6,3,1,9,0
2021021293,20212022,2,2022-02-09T00:00:00Z,US/Eastern,Capital One Arena,Columbus Blue Jackets,Washington Capitals,5.0,4.0,REG,5,5,0,4,6,0
